(1,"arjun",(88,55,69,25,99),(58,69,68,47,99),98,100)
(2, "karthik", (78, 65, 72, 81, 90), (68, 70, 75, 60, 85), 92, 100)
(3, "priya",   (88, 90, 85, 79, 91), (78, 80, 82, 74, 89), 96, 100)
(4, "rohit",   (65, 70, 68, 60, 75), (58, 62, 64, 55, 70), 85, 100)
(5, "meena",   (92, 95, 94, 90, 98), (88, 90, 92, 89, 95), 99, 100)
(6, "suresh",  (55, 60, 58, 62, 65), (50, 55, 53, 57, 60), 80, 100)
(7, "anitha",  (81, 83, 79, 85, 88), (75, 78, 76, 80, 84), 93, 100)
(8, "vijay",   (70, 72, 75, 78, 80), (65, 68, 70, 72, 75), 90, 100)
(9, "neha",    (89, 87, 91, 90, 93), (82, 80, 85, 84, 88), 97, 100)
(10,"rahul",   (60, 62, 65, 67, 70), (55, 58, 60, 62, 65), 83, 100)
(11,"pooja",   (85, 88, 90, 87, 92), (78, 80, 83, 81, 86), 95, 100)
